Date,Close,High,Low,Open,Volume,Price Range,Short MA,Long MA,Middle_Band,Upper_Band,Lower_Band
2015-07-17,279.47198486328125,280.2799987792969,272.0429992675781,278.09100341796875,27591400,"[178, 10178)",250.66571838378906,247.4205450439453,272.9674468994141,304.5414040039481,241.39348979488008
2015-07-18,274.9010009765625,282.5270080566406,274.07501220703125,279.33099365234375,25187100,"[178, 10178)",251.42181854248048,247.24136505126953,274.2619468688965,303.7547038756196,244.76918986217333
2015-07-19,273.614013671875,275.6700134277344,272.51300048828125,274.7669982910156,15332500,"[178, 10178)",252.2271987915039,247.0084701538086,275.08944778442384,303.45775117279925,246.7211443960484
2015-07-20,278.9809875488281,278.9809875488281,272.9599914550781,273.4989929199219,22711400,"[178, 10178)",253.20301849365234,246.83213012695313,275.88489761352537,303.72157554278715,248.04821968426356
2015-07-21,275.8330078125,280.5469970703125,275.41900634765625,278.8819885253906,22930700,"[178, 10178)",254.26115875244142,246.63613510131836,276.7454978942871,303.37287194469206,250.11812384388216
2015-07-22,277.22198486328125,277.6659851074219,274.3810119628906,275.6570129394531,19389800,"[178, 10178)",255.28953857421874,246.61683502197266,277.8359970092773,302.4985884653005,253.17340555325413
2015-07-23,276.04901123046875,278.1109924316406,275.71600341796875,277.34100341796875,18531300,"[178, 10178)",256.2930389404297,246.67610504150392,278.82164764404297,301.3496160978376,256.2936791902483
2015-07-24,288.27801513671875,289.25299072265625,275.2539978027344,276.0050048828125,37199400,"[178, 10178)",257.572119140625,246.7451251220703,280.19124908447264,301.4212588760599,258.9612392928854
2015-07-25,288.6969909667969,290.7330017089844,286.00201416015625,288.16400146484375,20662200,"[178, 10178)",258.8470190429687,246.75766510009765,281.0304489135742,302.20949151829103,259.8514063088574
2015-07-26,292.6860046386719,293.052001953125,287.70599365234375,288.6400146484375,16032300,"[178, 10178)",260.18835906982423,246.74941009521484,282.21324920654297,303.2119063667349,261.214592046351
2015-07-27,293.6239929199219,297.77398681640625,287.45001220703125,292.6390075683594,30592000,"[178, 10178)",261.6032189941406,246.80078506469727,283.58409881591797,303.74608817510693,263.422109456729
2015-07-28,294.427001953125,296.64898681640625,293.4230041503906,293.63299560546875,25453600,"[178, 10178)",262.9219790649414,246.8208801269531,284.7661987304688,304.53702853706824,264.9953689238693
2015-07-29,289.5899963378906,294.5360107421875,288.7770080566406,294.4840087890625,24672600,"[178, 10178)",264.13281890869143,246.8948501586914,285.7842987060547,304.2394214131152,267.3291759989942
2015-07-30,287.72198486328125,290.1260070800781,286.5679931640625,289.1029968261719,21635800,"[178, 10178)",265.31119873046873,247.00516006469726,285.92569732666016,304.3954280616548,267.4559665916655
2015-07-31,284.6499938964844,288.9590148925781,282.343994140625,287.6960144042969,23629100,"[178, 10178)",266.4100985717773,247.08943008422852,285.5024475097656,303.663891385469,267.3410036340622
2015-08-01,281.60101318359375,284.9320068359375,278.11199951171875,284.6860046386719,18995000,"[178, 10178)",267.4424789428711,247.36813018798827,284.0391479492188,297.7716774367802,270.30661846165737
2015-08-02,282.614013671875,283.0320129394531,277.52899169921875,280.4490051269531,17722200,"[178, 10178)",268.44671936035155,247.89068527221679,283.56714935302733,296.7788186034315,270.3554801026232
2015-08-03,281.22698974609375,285.47100830078125,280.2330017089844,282.8059997558594,21474100,"[178, 10178)",269.40039916992185,248.24760025024415,283.2552993774414,296.37378732313965,270.1368114317432
2015-08-04,285.2179870605469,285.7149963378906,281.2250061035156,281.2250061035156,21908700,"[178, 10178)",270.3682989501953,248.63320518493651,283.2247482299805,296.3208258869058,270.12867057305516
2015-08-05,281.8819885253906,285.5010070800781,281.4880065917969,284.84698486328125,20128000,"[178, 10178)",270.98803863525393,249.0463151550293,283.4143981933594,296.30557901154435,270.5232173751744
